Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,Supply,,Return
301006,,CGMU5398800,0,COCTG,ITGOA/MXVER/ITGOA,,,,,Unchecked,"13,8","14,3",,"14,4"
20682,,APRU5757307,0,COCTG,ESVLC/BRNAT/ESVLC,,,,,Unchecked,,,,
421584,,RJCU2019610,0,COCTG,ESVLC/COBAQ/ESVLC,,,,,Unchecked,,,,
301112,,CRSU6014060,0,COCTG,ITGOA/GHTKD/ITGOA,,,,,Unchecked,,,,
301210,,CXRU1315142,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,,,,
541484,,TEMU9138439,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,,,,
541284,,CGMU9405717,0,COCTG,ITGOA/SNDKR/ITGOA,,,,,Checked,"13,3","14,32",,"14,14"
421282,,CGMU5302536,0,COCTG,ITGOA/SNDKR/ITGOA,,,,,Unchecked,-21,"-20,9",,"-17,2"
541084,,CGMU6512590,0,COCTG,ITGOA/MAAGA/ITGOA,,,,,Unchecked,"133,125","13,5",,"12,875"
301110,,CGMU4950940,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,"138,125","138,125",,"14,375"
420882,,TRIU8780040,0,COCTG,ITGOA/MXVER/ITGOA,,,,,Unchecked,,,,
261182,,CGMU5392083,0,COCTG,FRMRS/GALBV/FRMRS,,,,,Checked,-18,-23,,"-17,5"
541082,,CGMU5304185,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,"13,3","13,3",,14
261184,,CGMU5391826,0,COCTG,FRMRS/ESALG/FRMRS,,,,,Checked,-20,"-23,8",,"-19,2"
421084,,APRU5803700,0,COCTG,ITGOA/GHTKD/ITGOA,,,,,Unchecked,,,,
20882,,CGMU5031727,0,COCTG,ESVLC/MXMEX/ESVLC,,,,,Unchecked,,,,
301206,,TCLU1097763,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,,,,
421384,,CGMU5311564,0,COCTG,ESVLC/COBAQ/ESVLC,,,,,Checked,-18,"-23,1",,-18
420684,,CGMU6900960,0,COCTG,ITGOA/ESALG/ITGOA,,,,,Unchecked,-20,"-21,7",,-20
261382,,CGMU5388756,0,COCTG,FRMRS/ESVGO/FRMRS,,,,,Checked,-20,-19,,"-19,1"
301010,,TRIU8655060,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,,,,
301208,,TTNU8688705,0,COCTG,ITGOA/SNDKR/ITGOA,,,,,Unchecked,-21,"-17,25",,"18,39"
420884,,CGMU6909545,0,COCTG,ITGOA/CISPY/ITGOA,,,,,Checked,"13,8",14,,"14,3"
421284,,CGMU5400342,0,COCTG,ITGOA/MAAGA/ITGOA,,,,,Checked,"13,2","13,6",,"13,6"
541482,,TCLU1156716,0,COCTG,ITGOA/PAMIT/ITGOA,,,,,Unchecked,,,,
540686,,CGMU5148971,0,COCTG,ITGOA/SNDKR/ITGOA,,,,,Checked,"13,3","13,3",,"13,8"
301008,,CXRU1248229,0,COCTG,ITGOA/SNDKR/ITGOA,,,,,Unchecked,,,,
540886,,CGMU5355602,0,COCTG,ITGOA/SNDKR/ITGOA,,,,,Unchecked,,,,
300906,,CGMU9292708,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,,,,
540684,,CGMU9326351,0,COCTG,ITGOA/MAAGA/ITGOA,,,,,Unchecked,,,,
300712,,TCLU1069519,0,COCTG,ITGOA/GALBV/ITGOA,,,,,Unchecked,,,,
420682,,CGMU6909355,0,COCTG,ITGOA/CISPY/ITGOA,,,,,Checked,"13,8","13,9",,"13,8"
540884,,CGMU9370246,0,COCTG,ITGOA/MAAGA/ITGOA,,,,,Unchecked,"13,3","13,2",,"13,48"
20684,,CGMU5441043,0,COCTG,ESVLC/MXVER/ESVLC,,,,,Checked,-20,-19,,"-19,3"
580684,,CGMU5507789,0,COCTG,ESBCN/GNCKY/ESBCN,,,,,Checked,14,"13,54",,"13,99"
300812,,SZLU9029522,0,COCTG,ITGOA/GHTKD/ITGOA,,,,,Unchecked,,,,
21282,,CGMU6905956,0,COCTG,ESVLC/MXMEX/ESVLC,,,,,Checked,-22,"-26,1",,"-21,3"
540682,,CGMU6909674,0,COCTG,ITGOA/CMDLA/ITGOA,,,,,Checked,"13,3","13,4",,"14,1"
541282,,TLLU1059545,0,COCTG,ITGOA/NOBVK/ITGOA,,,,,Unchecked,,,,
540882,,CGMU6909490,0,COCTG,ITGOA/PAMIT/ITGOA,,,,,Checked,"13,3","13,2",,"13,6"
261582,,CGMU5393222,0,COCTG,FRMRS/ESALG/FRMRS,,,,,Checked,-20,"-19,8",,"-19,6"
421082,,CGMU5415379,0,COCTG,ITGOA/CISPY/ITGOA,,,,,Checked,"-0,999999999999996","-0,899999999999999",,"-0,899999999999999"
301012,,CXRU1246442,0,COCTG,ITGOA/GHTKD/ITGOA,,,,,Unchecked,,,,
540484,,CGMU6904780,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Checked,-20,"-22,7",,-19
540482,,TEMU9214987,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Checked,-20,"-19,73",,"-19,95"
421582,,CGMU5142058,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Checked,-20,"-27,5",,"-20,7"
300884,,AMCU9263593,0,ESALG,ITGOA/NAWVB/ITGOA,,,,,Unchecked,-25,"-30,125",,"-248,125"
460508,,APRU5092855,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Unchecked,,,,
421382,,APRU5096510,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Unchecked,,,,
300882,,APRU6105941,0,ESALG,ITGOA/MRNKC/ITGOA,,,,,Unchecked,,,,
390282,,CGMU3009880,0,ESALG,ESBCN/MAAGA/ESBCN,,,,,Unchecked,,,,
461312,,CGMU5087011,0,ESALG,GPPTP/PTLEI/GPPTP,,,,,Checked,-20,"-28,1",,"-20,3"
460512,,CGMU5225785,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Checked,-20,"-23,1",,-19
301082,,CGMU5464882,0,ESALG,ITGOA/MAAGA/ITGOA,,,,,Unchecked,-20,"-21,9",,"-19,3"
460504,,CGMU6541026,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Checked,-20,"-22,5",,"-186,875"
380482,,CGMU6547913,0,ESALG,ESBCN/MAAGA/ESBCN,,,,,Unchecked,,,,
460510,,CGMU9337968,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Checked,-20,"-19,36",,"-19,74"
300682,,CRSU6005773,0,ESALG,ITGOA/MRNDB/ITGOA,,,,,Unchecked,,,,
450910,,CXRU1274341,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Unchecked,,,,
300684,,GESU9451972,0,ESALG,ITGOA/MAAGA/ITGOA,,,,,Unchecked,,,,
460912,,GESU9512996,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Unchecked,,,,
301084,,KKFU6754109,0,ESALG,ITGOA/SNDKR,,,,,Unchecked,,,,
301406,,SEGU9046378,0,ESALG,MQFDF/MAAGA/MQFDF,,,,,Unchecked,,,,
460106,,SEGU9216480,0,ESALG,COCTG/PTLEI/AWBAR,,,,,Unchecked,,,,
460506,,TEMU9420150,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Unchecked,,,,
460712,,TLLU1045080,0,ESALG,ESVLC/MAAGA/ESVLC,,,,,Unchecked,,,,
,,RMMU4043410,2,,,,,,,Checked,,,,
341112,,CGMU5411270,0,MTMLA,GPPTP/ITAOI/ANPHI,,,,,Checked,-20,"-18,6",,-19
260310,,APRU5728248,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Unchecked,,,,
180882,,APRU5785572,0,ITLIV,DOCAU/ITLIV/DOCAU,,,,,Unchecked,,,,
71682,,CGMU3049028,0,ITLIV,MXVER/ITLIV/MXVER,,,,,Checked,5,"4,78",,"4,84"
180612,,CGMU5225044,0,ITLIV,DOCAU/ITLIV/DOCAU,,,,,Checked,12,12,,"12,1"
220502,,CGMU5233219,0,ITLIV,ESVLC/ITLIV/ESVLC,,,,,Unchecked,,,,
260210,,CGMU5270980,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"13,08",,"12,77"
180684,,CGMU5377197,0,ITLIV,DOCAU/ITLIV/DOCAU,,,,,Checked,0,"0,299999999999994",,"0,299999999999994"
220504,,CGMU5393346,0,ITLIV,ESVLC/ITLIV/ESVLC,,,,,Checked,-18,"-20,6",,"-18,1"
260102,,CGMU5393541,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,1",,"12,2"
260108,,CGMU5394445,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,3",,"12,2"
260304,,CGMU5394569,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,2",,12
