Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
180606,,CGMU5325038,0,MXVER,,ESVLC/ESVLC,,,,Checked,-18,-18.07,,-17.81
180604,,TTNU8648718,0,MXVER,,ESVLC/ESVLC,,,,Unchecked,,,,
180602,,TTNU8267748,0,MXVER,,ESVLC/ESVLC,,,,Unchecked,,,,
581082,,CGMU6510447,0,CRMOB,,ESBCN,,,,Checked,13.88,14,,14.31
61286,,CRSU6115430,0,CRMOB,,ESVLC,,,,Checked,13.9,12.81,,14.49
60684,,SZLU9012582,0,CRMOB,,ESVLC,,,,Checked,13.9,14.98,,14.77
501082,,CGMU5503063,0,COCTG,,ESVLC/ESVLC,,,,Checked,-25,-23.75,,-25.07
500884,,SEGU9651189,0,COCTG,,ESVLC/ESVLC,,,,Checked,-20,-19.2,,-19.4
501282,,CGMU5269931,0,COCTG,,ESVLC/ESVLC,,,,Checked,-20,-21.54,,-19.87
500682,,CGMU5388102,0,COCTG,,ESVLC/ESVLC,,,,Checked,-23,-27.8,,-22.8
500684,,CGMU5412868,0,COCTG,,ESVLC/ESVLC,,,,Checked,-25,-27.2,,-24.1
500882,,APRU6102156,0,COCTG,,ESVLC/ESVLC,,,,Unchecked,,,,
501084,,TCLU1209760,0,COCTG,,ESVLC/ESVLC,,,,Unchecked,,,,
61086,,TCLU1154328,0,CRMOB,,ESVLC,,,,Unchecked,,,,
60886,,MFTU8193113,0,CRMOB,,ESVLC,,,,Unchecked,,,,
61486,,BMOU9700938,0,CRMOB,,ESVLC,,,,Unchecked,,,,
60686,,CXRU1320004,0,CRMOB,,ESVLC,,,,Unchecked,,,,
580984,,TGHU9942583,0,CRMOB,,ESBCN,,,,Unchecked,,,,
581084,,CRSU6094620,0,CRMOB,,ESBCN,,,,Unchecked,,,,
580884,,TRIU8656620,0,CRMOB,,ESBCN,,,,Unchecked,,,,
61684,,BMOU9731219,0,CRMOB,,ESVLC,,,,Unchecked,,,,
60884,,SEGU9002723,0,CRMOB,,ESVLC,,,,Unchecked,,,,
61284,,TRLU1669301,0,CRMOB,,ESVLC,,,,Unchecked,,,,
61484,,MFTU8192380,0,CRMOB,,ESVLC,,,,Unchecked,,,,
61084,,TRIU8186846,0,CRMOB,,ESVLC,,,,Unchecked,,,,
580582,,TRIU8126024,0,CRMOB,,ESBCN,,,,Unchecked,,,,
580982,,TRIU8513419,0,CRMOB,,ESBCN,,,,Unchecked,,,,
580682,,GESU9530562,0,CRMOB,,ESBCN,,,,Unchecked,,,,
580882,,TRIU8138405,0,CRMOB,,ESBCN,,,,Unchecked,,,,
580782,,BMOU9706474,0,CRMOB,,ESBCN,,,,Unchecked,,,,
60682,,BMOU9721334,0,CRMOB,,ESVLC,,,,Unchecked,,,,
61682,,TRIU8116561,0,CRMOB,,ESVLC,,,,Unchecked,,,,
61282,,TCLU1165030,0,CRMOB,,ESVLC,,,,Unchecked,,,,
61482,,TCLU1056933,0,CRMOB,,ESVLC,,,,Unchecked,,,,
60882,,BMOU9702186,0,CRMOB,,ESVLC,,,,Unchecked,,,,
