Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
460504,,CGMU4975321,0,FRMRS,,CRMOB/CRMOB,,,,Checked,0.5,0.53,,1.87
460604,,TLLU1078714,0,ESBCN,,PAMIT/PAMIT,,,,Checked,-22,-23.75,,-22
460502,,TCLU1068359,0,FRMRS,,PAMIT/PAMIT,,,,Unchecked,0,0.2,,0.6
300706,,CGMU9362636,0,USHOU,,ESALG/CMDLA,,,,Checked,-22,-24.52,,-22.16
300510,,CGMU5326097,0,USHOU,,ESALG/BJCOO,,,,Checked,-20,-25.94,,-20.04
300512,,CGMU5353127,0,USHOU,,ESALG/CMDLA,,,,Checked,-22,-24.12,,-22.69
220312,,TTNU8702254,0,USHOU,,PAMIT/CLSAI,,,,Checked,-18,-19.88,,-18
220410,,CGMU5071870,0,USHOU,,PAMIT/CLSAI,,,,Checked,-18,-17.4,,-17.9
340410,,TRIU8723122,0,USHOU,,MTMLA/**EDK,,,,Unchecked,,,,
220412,,TRLU1654451,0,USHOU,,PAMIT/CLSAI,,,,Unchecked,,,,
300612,,APRU5081531,0,USHOU,,ESALG/AOLAD,,,,Unchecked,,,,
300506,,TRIU8656370,0,USHOU,,ESALG/BJCOO,,,,Unchecked,,,,
300508,,CXRU1382095,0,USHOU,,ESALG/BJCOO,,,,Unchecked,,,,
340210,,GESU9527506,0,USHOU,,MTMLA/**EDK,,,,Unchecked,,,,
300610,,APRU6128206,0,USHOU,,ESALG/**PNR,,,,Unchecked,,,,
300606,,APRU5101108,0,USHOU,,ESALG/**PNR,,,,Unchecked,,,,
220310,,APRU5824827,0,USHOU,,PAMIT/CLSAI,,,,Unchecked,,,,
300806,,APRU5726456,0,USHOU,,ESALG/BJCOO,,,,Unchecked,,,,
300608,,TRIU8970652,0,USHOU,,ESALG/**PNR,,,,Unchecked,,,,
300582,,TTNU8635285,0,MXVER,,ESALG/ESALG,,,,Checked,5,4.63,,5.88
300584,,TTNU8636954,0,MXVER,,ESALG/ESALG,,,,Checked,5.5,5.56,,6.5
180606,,CGMU5325038,0,MXVER,,ESVLC/ESVLC,,,,Checked,-18,-20.93,,-18.3
300782,,TTNU8628795,0,MXVER,,ESALG/ESALG,,,,Checked,5,4.56,,6.25
140404,,CGMU9394485,0,MXVER,,MTMLA/MTMLA,,,,Checked,13,12.93,,13.54
180604,,TTNU8648718,0,MXVER,,ESVLC/ESVLC,,,,Indeterminate,,,,
140202,,TRIU8614055,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140108,,TRIU8137034,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140106,,SZLU9023870,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140104,,BMOU9727760,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
180602,,TTNU8267748,0,MXVER,,ESVLC/ESVLC,,,,Indeterminate,,,,
140102,,TRIU8223050,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140408,,TCLU1371278,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140304,,TRIU8675410,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140306,,TTNU8510755,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140204,,TTNU8424549,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140308,,TTNU8510375,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140206,,CGMU4974731,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140208,,CXRU1526675,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140406,,SZLU9136813,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
140210,,TCLU1192483,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
