Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
420082,,CGMU5361164,0,MTMLA,,COCTG/COCTG,,,,Checked,20,"19,97",,"21,36"
220882,,CGMU4961415,0,MTMLA,,USHOU/USHOU,,,,Checked,-18,"-21,7",,"-18,19"
140412,,CGMU5143352,0,MTMLA,,MXVER/MXVER,,,,Checked,1,1,,"2,5"
221082,,TCLU1197675,0,MTMLA,,USHOU/USHOU,,,,Unchecked,-18,-19,,-18
220682,,AXIU6111163,0,MTMLA,,USHOU/USHOU,,,,Unchecked,-18,"-19,4",,-18
150284,,CGMU2989331,0,ITLIV,,MXVER/MXVER,,,,Unchecked,-25,"-24,24",,"-24,75"
350612,,CGMU3017118,0,ITLIV,,JMKIN/JMKIN,,,,Checked,-25,"-26,86",,"-25,1"
140482,,CXRU1525030,0,ITLIV,,MXVER/MXVER,,,,Unchecked,18,"18,6",,"18,5"
150682,,CGMU2991513,0,ITGOA,,JMKIN,,,,Checked,20,20,,"20,38"
541082,,CGMU5003411,0,ITGOA,,COCTG/ECGYE,,,,Checked,0,"-0,02",,"1,87"
541482,,CGMU5168638,0,ITGOA,,COCTG/ECGYE,,,,Unchecked,14,"14,1",,"14,5"
541282,,CXRU1525529,0,ITGOA,,COCTG/ECGYE,,,,Unchecked,0,"0,2",,"0,8"
541484,,SEGU9133003,0,ITGOA,,COCTG,,,,Unchecked,14,"13,6",,"14,1"
541284,,TCLU1071943,0,ITGOA,,COCTG,,,,Checked,17,17,,"174,375"
130612,,CGMU3085961,0,FRMRS,,JMKIN/GBPPT,,,,Checked,18,"17,41",,"17,74"
141084,,CGMU9309550,0,FRMRS,,JMKIN/NONOU,,,,Checked,-25,"-26,84",,"-25,17"
460504,,CGMU4975321,0,FRMRS,,CRMOB/CRMOB,,,,Checked,"0,5","1,92",,"6,52"
460604,,TLLU1078714,0,ESBCN,,PAMIT/PAMIT,,,,Checked,-22,"-23,875",,-22
141086,,CGMU6531748,0,ESBCN,,JMKIN/CRMOB,,,,Checked,18,"17,875",,"19,125"
380410,,TLLU1080368,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-239,375",,-22
141282,,CGMU4991657,0,ESBCN,,JMKIN/JMMBJ,,,,Checked,4,"3,98",,"4,89"
380408,,CGMU4983733,0,ESBCN,,COCTG/CLSAI,,,,Checked,18,"17,99",,"18,63"
380310,,TLLU1078740,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-235,625",,-22
380210,,TLLU1078843,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-238,125",,-22
380406,,CGMU5274347,0,ESBCN,,COCTG/PAMIT,,,,Checked,0,"-0,12",,"1,4"
300212,,CGMU5079335,0,ESBCN,,MXVER/MXVER,,,,Checked,20,"21,43",,"20,47"
540686,,TLLU1080389,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-23,625",,-22
141082,,TRIU8079257,0,ESBCN,,JMKIN/JMMBJ,,,,Unchecked,-18,"-24,1",,"-20,4"
540886,,TLLU1050825,0,ESBCN,,COCTG/COCTG,,,,Unchecked,-22,"-24,5",,"-22,6"
540884,,APRU5848259,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,-22,"-24,4",,"-22,1"
540882,,TRIU8187014,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,-22,"-23,6",,"-22,2"
540684,,CGMU5016105,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,-22,"-24,6",,"-22,3"
540584,,APRU5742689,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,-22,"-22,6",,"-21,5"
150686,,BMOU8710269,0,ESBCN,,JMKIN/PFPPT,,,,Unchecked,-18,"-18,9",,"-17,7"
540582,,CXRU1280025,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,-22,-24,,"-22,4"
141284,,CGMU9308471,0,ESBCN,,JMKIN/JMMBJ,,,,Unchecked,-18,"-19,6",,"-18,4"
540682,,APRU5711029,0,ESBCN,,COCTG/PAMIT,,,,Unchecked,-18,"-18,9",,"-17,5"
380582,,TRIU8163218,0,FRMRS,,COCTG/COCTG,,,,Unchecked,-20,"-21,9",,"-20,3"
460502,,TCLU1068359,0,FRMRS,,PAMIT/PAMIT,,,,Unchecked,0,"0,2",,"0,6"
460882,,CGMU5363980,0,ESVLC,,COCTG/COBUN,,,,Checked,0,0,,"1,13"
460884,,CGMU5028359,0,ESVLC,,COCTG/COCTG,,,,Checked,-18,"-20,35",,"-17,82"
460584,,CGMU5430590,0,ESVLC,,COCTG/CLSAI,,,,Checked,-20,"-24,11",,"-21,65"
460686,,TRLU1730042,0,ESVLC,,COCTG/CLSAI,,,,Checked,-18,"-16,2",,"-17,2"
420812,,TTNU8695432,0,ESVLC,,JMKIN/GTPBR,,,,Unchecked,0,"-0,1875",,"0,4375"
431282,,CGMU3000440,0,ESVLC,,COCTG/PAMIT,,,,Checked,-18,"-22,125",,"-17,5"
431284,,CGMU3000938,0,ESVLC,,COCTG/CLSAI,,,,Checked,5,"5,125",,6
460582,,APRU5101134,0,ESVLC,,COCTG/COCTG,,,,Unchecked,2,"1,9",,"2,5"
460682,,APRU5806464,0,ESVLC,,COCTG/ECGYE,,,,Unchecked,0,0,,"0,6"
460684,,APRU5709280,0,ESVLC,,COCTG/ECGYE,,,,Unchecked,0,"-0,2",,"0,3"
460782,,CGMU9338877,0,ESVLC,,COCTG/CLSAI,,,,Unchecked,-20,"-21,7",,"-20,6"
460784,,TRIU8684664,0,ESVLC,,COCTG/COBAQ,,,,Unchecked,2,2,,"2,4"
421012,,TRIU8731920,0,ESVLC,,JMKIN/MXPGO,,,,Unchecked,-20,"-21,7",,"-20,4"
140812,,CGMU5427493,0,ITGOA,,JMKIN/NCNOU,,,,Checked,14,"14,01",,"13,89"
380106,,TRIU8121151,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,0,"0,1",,"0,7"
380108,,TRLU1705610,0,ESBCN,,COCTG/COBUN,,,,Unchecked,2,"1,8",,"2,5"
380110,,AMCU9290557,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,-22,"-25,1",,"-22,6"
380112,,TLLU1050419,0,ESBCN,,COCTG/COCTG,,,,Unchecked,-22,"-24,3",,"-22,6"
380206,,TRIU8764878,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,0,0,,"0,5"
380208,,AXIU6110362,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,0,"0,1",,"0,6"
380212,,TCLU1312568,0,ESBCN,,COCTG/COCTG,,,,Unchecked,-22,"-24,1",,"-22,1"
380306,,CGMU6506344,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,0,"-0,1",,"0,3"
380308,,CGMU4961586,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,0,"-0,2",,"0,8"
380312,,TCLU1155140,0,ESBCN,,COCTG/COCTG,,,,Unchecked,-22,"-24,9",,"-23,3"
380412,,GESU9585755,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,-22,"-24,1",,"-22,6"
,,RMMU2310040,2,,,,,,,Checked,,,,
