Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,Supply,,Return
21084,,CGMU5172068,0,USHOU,COCTG/USHOU/COCTG,,,,,Checked,-18,-21.1,,-17.3
420506,,SEGU9537920,1,USHOU,MTMLA/USHOU/TRGEB,,,,,Checked,-18,-21.7,,-17.1
20782,,TRIU8508984,0,USHOU,ESALG/USHOU/CIABJ,,,,,Unchecked,-23,-25.1,,-23
420606,,TRIU8965620,0,USHOU,MTMLA/USHOU/TRGEB,,,,,Unchecked,0,0,,1.2
420706,,TRIU8686081,0,USHOU,MTMLA/USHOU/TRGEB,,,,,Unchecked,0,0,,1.3
21082,,CRLU1842051,0,USHOU,COCTG/USHOU/COCTG,,,,,Unchecked,-18,-20,,-18.2
420806,,TTNU8267542,0,USHOU,MTMLA/USHOU/TRGEB,,,,,Unchecked,-18,-20.2,,-18.1
540884,,TLLU1061007,0,MXVER,ITLIV/ITLIV,,,,,Checked,5,5,,5.44
540882,,CAIU5554500,0,MXVER,ITLIV/ITLIV,,,,,Unchecked,4.4,4.4,,5.6
100206,,CAIU5654808,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.7
100510,,TLLU1051544,0,MXVER,ESALG/ESALG,,,,,Unchecked,4,4,,5.6
100406,,TLLU1049275,0,MXVER,ESALG/ESALG,,,,,Unchecked,4,4,,5.2
100112,,TLLU1080075,0,MXVER,ESALG/ESALG,,,,,Checked,5,5.19,,5.38
100104,,TLLU1052216,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.5
100310,,TLLU1052197,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.4
420582,,CGMU5469333,0,MXVER,MTMLA/MTMLA,,,,,Checked,13.5,13.4,,14.6
100102,,BMOU9643062,0,MXVER,ESALG/ESALG,,,,,Checked,5,4.81,,6.06
100106,,CAIU5587968,0,MXVER,ESALG/ESALG,,,,,Checked,6,5.94,,7.06
100306,,CAIU5555174,0,MXVER,ESALG/ESALG,,,,,Unchecked,5.5,5.6,,6.2
100108,,TLLU1049911,0,MXVER,ESALG/ESALG,,,,,Unchecked,5.5,5.5,,6.2
100404,,TLLU1051170,0,MXVER,ESALG/ESALG,,,,,Unchecked,4,4,,5.2
100410,,TLLU1049721,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.6
100408,,TLLU1079388,1,MXVER,ESALG/ESALG,,,,,Checked,5,5,,5.44
100210,,TLLU1049491,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.7
100204,,TLLU1070400,0,MXVER,ESALG/ESALG,,,,,Checked,5,5.25,,6.19
100304,,TLLU1053608,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.6
100208,,TLLU1053038,0,MXVER,ESALG/ESALG,,,,,Checked,5,4.94,,5.44
100110,,TLLU1049254,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.5
420584,,CGMU5129518,0,MXVER,MTMLA/MTMLA,,,,,Checked,18,18.4,,19.7
420586,,CGMU9314643,0,MXVER,MTMLA/MTMLA,,,,,Checked,18,17.91,,18.45
100308,,TLLU1059822,0,MXVER,ESALG/ESALG,,,,,Checked,5,5.13,,5.81
100202,,CAIU5654881,0,MXVER,ESALG/ESALG,,,,,Unchecked,5,5,,5.5
20784,,CGMU5121163,0,PAMIT,ESALG/ESALG,,,,,Checked,6.5,6.5,,8.7
580382,,CGMU5454380,0,PAMIT,ITGOA,,,,,Checked,21.1,21.2,,21.5
380182,,CGMU5029041,0,PAMIT,CRMOB,,,,,Unchecked,0,-0.63,,0.75
380382,,GESU9573570,0,PAMIT,CRMOB,,,,,Unchecked,0,0.2,,1.4
501382,,CGMU6541284,0,PAMIT,ESVLC,,,,,Checked,-22,-26,,-21.13
380384,,CXR-1619377,0,PAMIT,CRMOB,,,,,Unchecked,0.5,0.5,,1.4
