Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
380282,,SEGU9536170,0,USHOU,PAMIT/USHOU/PECLL,,,,Checked,2.2,2.2,,2.7
181006,,CGMU5031774,0,MXVER,ITGOA/ITGOA,,,,Checked,1,1,,1.8
,,RMMU2227120,2,,,,,,Checked,,,,
420408,,TLLU1056844,0,MXVER,ESALG/ESALG,,,,Checked,5,5.19,,5.81
420402,,TTNU8979613,0,MXVER,ESALG/ESALG,,,,Checked,3.5,3.69,,4.19
420404,,TLLU1070950,0,MXVER,ESALG/ESALG,,,,Checked,5,5.13,,6.13
420406,,TLLU1079937,0,MXVER,ESALG/ESALG,,,,Checked,5,5.75,,4.88
220384,,CGMU5437721,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.6,,14.3
220382,,CGMU5068198,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.5,,14.4
181010,,CGMU5036694,0,MXVER,ITGOA/ITGOA,,,,Indeterminate,,,,
181008,,CRSU6099134,0,MXVER,ITGOA/ITGOA,,,,Indeterminate,,,,
380082,,CXRU1308210,0,USHOU,PAMIT/USHOU/CLSAI,,,,Indeterminate,,,,
380284,,TRIU8621331,0,USHOU,PAMIT/USHOU/CLSAI,,,,Indeterminate,,,,
380382,,TRIU8750370,0,USHOU,PAMIT/USHOU/CLSAI,,,,Indeterminate,,,,
380182,,TCLU1214345,0,USHOU,PAMIT/USHOU/CLSAI,,,,Indeterminate,,,,
380482,,SZLU9824288,0,USHOU,PAMIT/USHOU/CLSAI,,,,Indeterminate,,,,
380084,,TEMU9845956,0,USHOU,PAMIT/USHOU/CLSAI,,,,Indeterminate,,,,
420510,,TRIU8614219,0,USHOU,ESALG/USHOU/**SSG,,,,Indeterminate,,,,
540182,,CGMU9369970,0,USHOU,ESVLC/USHOU/ESVLC,,,,Indeterminate,,,,
