Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
450608,,CGMU3015481,0,ITGOA,MXVER/CNSHA/MXVER,Checked,,,27,27.43,,27.32,,,,,,,,,,
450602,,CGMU3027353,0,ITGOA,MXVER/ITGOA/MXVER,Checked,,,25,22.67,,24.95,,,,,,,,,,
450604,,CGMU3036822,0,ITGOA,MXVER/CNSHA/MXVER,Unchecked,,,27,27.1,,27.4,,,,,,,,,,
450610,,CXRU1078800,0,ITGOA,MXVER/ESBCN/MXVER,Unchecked,,,27,27.1,,27.7,,,,,,,,,,
450606,,SZLU2002392,0,ITGOA,MXVER/CNSHA/MXVER,Unchecked,,,27,27,,27.8,,,,,,,,,,
380106,,TTNU8878140,0,ESBCN,MXVER/ESALG/MXVER,Checked,,,-18,-18.44,,-18,,,0,,,,0,25.5,,
380108,,CGMU4928398,0,ESBCN,MXVER/SIKOP/MXVER,Checked,,,-18,-22.5,,-17.81,,,,,,,,,,
380110,,CGMU9287403,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-18,-20.07,,-18.2,,,,,,,,,,
380112,,TCLU1209143,0,ESBCN,MXVER/ESVLC/MXVER,Unchecked,,,-22,-25,,-21.8,,,,,,,,,,
380306,,TRIU8100523,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-24.4,,-21.6,,,,,,,,,,
380308,,APRU5715132,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.2,,-21.6,,,,,,,,,,
380310,,APRU5772620,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-24.3,,-21.7,,,,,,,,,,
380312,,TRIU8186810,0,ESBCN,MXVER/ESVLC/MXVER,Unchecked,,,-22,-24.8,,-21.8,,,,,,,,,,
380206,,SEGU9075308,0,ESBCN,MXVER/ITLIV/MXVER,Unchecked,,,-22,-23.6,,-21.9,,,,,,,,,,
380208,,CXRU1382048,0,ESBCN,MXVER/INMUN/MXVER,Unchecked,,,-22,-24.4,,-21.8,,,,,,,,,,
380210,,GESU9575269,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-24.1,,-21.7,,,,,,,,,,
380212,,CGMU9353212,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-21.72,,-21.61,,,,,,,,,,
380406,,FSCU5966510,0,ESBCN,MXVER/BEANR/MXVER,Unchecked,,,-22,-24.2,,-21.8,,,,,,,,,,
380410,,TEMU9870938,0,ESBCN,MXVER/ESVLC/MXVER,Checked,,,-22,-25,,-22,,,,,,,,,,
380408,,TEMU9867209,0,ESBCN,MXVER/INNSA/MXVER,Checked,,,-22,-25.5,,-22.19,,,,,,,,,,
380082,,CGMU5459994,1,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-20,-22,,-18.9,,,,,,,,,,
380084,,CGMU5116070,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-18,-26.1,,-19.4,,,,,,,,,,
380086,,CGMU5404179,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,20,20.2,,20.3,,,,,,,,,,
380182,,CXRU1282901,0,ESVLC,MXVER/BEANR/MXVER,Unchecked,,,-20,-22.4,,-19.9,,,,,,,,,,
380184,,CGMU9384830,0,ESVLC,MXVER/INNSA/MXVER,Checked,,,-20,-20.6,,-20.06,,,,,,,,,,
380282,,TTNU8295478,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,-18,-20.9,,-17.9,,,,,,,,,,
380284,,TEMU9155159,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-20,-25.9,,-18.8,,,,,,,,,,
380286,,CGMU5398902,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,20,20.1,,20.5,,,,,,,,,,
380382,,CRLU1610056,0,ESVLC,MXVER/CNSHA/MXVER,Unchecked,,,-20,-21.9,,-19.9,,,,,,,,,,
380384,,SZLU9028233,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,-20,-21.6,,-19.8,,,,,,,,,,
380412,,CGMU5073403,0,ESVLC,MXVER/FRLEH/MXVER,Unchecked,,,-18,-21.2,,-17.7,,,,,,,,,,
380482,,TCLU1338942,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-18,-24.8,,-19,,,,,,,,,,
380484,,TEMU9876849,0,ESVLC,MXVER/GBSOU/MXVER,Checked,,,-20,-22.13,,-20,,,0,,,,0,25.5,,
511082,,TRIU6641302,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,4,4,,4.7,,,,,,,,,,
340310,,CGMU5144662,0,DOCAU,MXVER/ITGOA/MXVER,Checked,,,23,23,,23.5,,,,,,,,,,
340308,,APRU6107076,0,DOCAU,MXVER/MQFDF/MXVER,Unchecked,,,23,22.9,,23.7,,,,,,,,,,
340306,,TCLU1060316,0,DOCAU,MXVER/CNSHA/MXVER,Unchecked,,,23,23.1,,23.8,,,,,,,,,,
460402,,SZLU9224339,0,COCTG,MXVER/RULED/MXVER,Checked,,,-0.5,-0.48,,0.24,,,,,,,,,,
460404,,BMOU9616410,0,COCTG,MXVER/ESALG/MXVER,Checked,,,0,0.25,,1,,,0,,,,0,25.5,,
190110,,CGMU3080105,0,JMKIN,MXVER/JMKIN/ITLIV/MXVER,Unchecked,,,15,15,,16,,,,,,,,,,
180310,,TEMU9224136,0,JMKIN,MXVER/JMKIN/CNSHA/MXVER,Unchecked,,,18,18.1,,18.7,,,,,,,,,,
180410,,TTNU8293916,0,JMKIN,MXVER/JMKIN/USNYC/MXVER,Unchecked,,,18,17.9,,18.7,,,,,,,,,,
180312,,TRIU8781176,0,JMKIN,MXVER/JMKIN/ITGOA/MXVER,Unchecked,,,18,18.1,,18.8,,,,,,,,,,
180210,,TEMU9267605,0,JMKIN,MXVER/JMKIN/ESVLC/MXVER,Unchecked,,,-24,-25.6,,-24,,,,,,,,,,
180412,,TTNU8880298,1,JMKIN,MXVER/JMKIN/RULED/MXVER,Checked,,,-24,-24.25,,-23,,,0,,,,0,25.5,,
460406,,AMCU9299261,0,JMKIN,MXVER/JMKIN/FRLEH/MXVER,Checked,,,-20,-25.1,,-20,,,,,,,,,,
460408,,CGMU5304014,0,JMKIN,MXVER/JMKIN/FRLEH/MXVER,Checked,,,20,20,,20.4,,,,,,,,,,
