Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,,Supply,Return
350684,,CGMU2999807,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,-10,,-10.4,-11
350682,,CRSU5020407,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,10,,10.1,10.5
270302,,CGMU2992762,0,MTMLA,MXVER/MTMLA/MXVER,,,,,Checked,15,,15,15.34
,,CXRU1046207,1,,,,,,,Unchecked,-10,,-16.31,-10.81
461582,,CGMU6905473,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Checked,-22,,-26.4,-21.5
300686,,TCLU1211840,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-22,,-22.4,-23.4
300684,,TTNU8688752,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Checked,-20,,-20.59,-20.13
140384,,APRU5799010,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-2,,-2.1,-2.5
300682,,TRIU8516676,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,-20,,-21.1,-21.7
300688,,TCLU1054057,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,4,,4,4.6
300582,,CGMU5401230,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21,-20.1
300584,,TEMU9261551,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-28.5,-20.8
300784,,TTNU8259573,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21.9,-22.6
300782,,TTNU8306660,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21.3,-22.3
340482,,CGMU6535553,0,JMKIN,USHOU/JMKIN/GYGEO/USHOU,,,,,Unchecked,-22,,-21.1,-22.3
,,RMMU4076580,2,,,,,,,Unchecked,,,,
