Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,,Supply,Return
350684,,CGMU2999807,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,-10,,-10.2,-10.5
350682,,CRSU5020407,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,10,,10.2,10.4
270302,,CGMU2992762,0,MTMLA,MXVER/MTMLA/MXVER,,,,,Checked,15,,15,15.36
,,CXRU1046207,1,,,,,,,Checked,-10,,-14.38,-9.81
461582,,CGMU6905473,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Checked,-22,,-24.3,-20.6
300686,,TCLU1211840,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-22,,-21.8,-22.5
300684,,TTNU8688752,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Checked,-20,,-26.33,-19.69
140384,,APRU5799010,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-2,,-2.1,-2.3
300682,,TRIU8516676,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,-20,,-20,-21.2
300688,,TCLU1054057,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,4,,4.1,4.2
300582,,CGMU5401230,0,COCTG,USHOU/COCTG/USHOU,,,,,Checked,-21,,-25.8,-21
300584,,TEMU9261551,0,COCTG,USHOU/COCTG/USHOU,,,,,Checked,-21,,-23.1,-20.4
300784,,TTNU8259573,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-20.6,-21.3
300782,,TTNU8306660,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21.1,-21.5
340482,,CGMU6535553,0,JMKIN,USHOU/JMKIN/GYGEO/USHOU,,,,,Unchecked,-22,,-21.3,-22.1
,,RMMU4076580,2,,,,,,,Checked,,,,
