Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
341384,,CGMU5262942,0,USHOU,MTMLA/USHOU/JPHMD,Checked,,,9.4,8.84,,9.53,,,,,,,,,,
380512,,SEGU9156267,0,USHOU,ESALG/USHOU/CDMAT,Unchecked,,,-18,-22.2,,-18,,,,,,,,,,
421306,,TEMU9444423,0,USHOU,ESVLC/USHOU/ESVLC,Unchecked,,,9,9,,9.6,,,,,,,,,,
380510,,CGMU5174604,0,USHOU,ESALG/USHOU/GHTEM,Unchecked,,,-18,-22.3,,-18,,,,,,,,,,
341382,,TTNU8777084,0,USHOU,MTMLA/USHOU/**AVC,Unchecked,,,20,20.1,,20.6,,,,,,,,,,
341182,,TTNU8840356,0,USHOU,MTMLA/USHOU/AEJEA,Unchecked,,,5,5.1,,5.7,,,,,,,,,,
380508,,SZLU9191997,0,USHOU,ESALG/USHOU/GHTEM,Unchecked,,,-18,-20.5,,-18,,,,,,,,,,
,,RMMU4383880,2,,,Checked,,,,,,,,,,,,,,,,
300508,,TTNU8637143,0,MXVER,ESALG/ESALG,Checked,,,5,4.94,,4.81,,,5,4.9,,,5,4.9,,
300806,,IKSU4008310,0,MXVER,ESALG/ESALG,Checked,,,5,5.13,,5.44,,,5,4.9,,,5,5.6,,
300610,,TTNU8627844,0,MXVER,ESALG/ESALG,Checked,,,5,4.94,,5.81,,,5,5.1,,,5,5.6,,
300606,,TLLU1060530,0,MXVER,ESALG/ESALG,Checked,,,5,4.88,,5.75,,,5,8.7,,,5,6,,
301010,,TLLU1070987,0,MXVER,ESALG/ESALG,Checked,,,5,5,,5.25,,,5,4.9,,,5,5.3,,
300510,,TLLU1049402,0,MXVER,ESALG/ESALG,Checked,,,5,5,,5.5,,,5,4.9,,,5,4.8,,
300708,,TTNU8620156,0,MXVER,ESALG/ESALG,Checked,,,4,4.06,,4.5,,,5,5.5,,,5,5.1,,
