Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
340910,,CGMU4946658,0,MTMLA,USHOU/MTMLA/USHOU,Checked,,,-18,-19.5,,-16.38,,,,,,,,,,
340908,,GESU9552448,0,MTMLA,USHOU/MTMLA/USHOU,Checked,,,-18,-24.1,,-18.06,,,,,,,,,,
340710,,CAIU5588630,0,MTMLA,USHOU/MTMLA/USHOU,Checked,,,-18,-20.63,,-17.94,,,0,20.7,,,0,25.5,,
341206,,CRSU6095972,0,MTMLA,USHOU/MTMLA/USHOU,Unchecked,,,-18,-21.8,,-18,,,,,,,,,,
341208,,CGMU9318470,0,MTMLA,USHOU/MTMLA/USHOU,Unchecked,,,-18,-19.9,,-17.9,,,,,,,,,,
340808,,TRIU8127334,0,MTMLA,USHOU/MTMLA/USHOU,Unchecked,,,-18,-23.8,,-17.9,,,,,,,,,,
340906,,CGMU5077899,0,MTMLA,USHOU/MTMLA/USHOU,Unchecked,,,-18,-19.5,,-17.9,,,,,,,,,,
260110,,SEGU9685424,0,ITLIV,USHOU/ITLIV/USHOU,Checked,,,-25,-28.6,,-23.9,,,,,,,,,,
450608,,CGMU3015481,0,ITGOA,MXVER/ITGOA/MXVER,Checked,,,27,28.13,,27.93,,,,,,,,,,
450602,,CGMU3027353,0,ITGOA,MXVER/ITGOA/MXVER,Checked,,,25,26.21,,25.99,,,,,,,,,,
450604,,CGMU3036822,0,ITGOA,MXVER/ITGOA/MXVER,Unchecked,,,27,27,,28,,,,,,,,,,
450610,,CXRU1078800,0,ITGOA,MXVER/ITGOA/MXVER,Unchecked,,,27,27.7,,28.3,,,,,,,,,,
450606,,SZLU2002392,0,ITGOA,MXVER/ITGOA/MXVER,Unchecked,,,27,26.9,,28.1,,,,,,,,,,
380106,,TTNU8878140,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-18,-18.19,,-18,,,0,,,,0,25.5,,
380108,,CGMU4928398,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-18,-17.69,,-17.5,,,,,,,,,,
380110,,CGMU9287403,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-18,-20.68,,-17.48,,,,,,,,,,
380112,,TCLU1209143,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.2,,-21.9,,,,,,,,,,
380306,,TRIU8100523,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-24.7,,-21.7,,,,,,,,,,
380308,,APRU5715132,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.1,,-21.8,,,,,,,,,,
380310,,APRU5772620,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.3,,-22,,,,,,,,,,
380312,,TRIU8186810,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-22.6,,-21,,,,,,,,,,
380206,,SEGU9075308,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23,,-21.5,,,,,,,,,,
380208,,CXRU1382048,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-25.3,,-21.7,,,,,,,,,,
380210,,GESU9575269,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.4,,-21.5,,,,,,,,,,
380212,,CGMU9353212,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-22.97,,-21.7,,,,,,,,,,
380406,,FSCU5966510,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-24.4,,-22.1,,,,,,,,,,
380410,,TEMU9870938,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-24.88,,-21.88,,,,,,,,,,
460982,,BMOU9772985,0,ESBCN,USHOU/ESBCN/USHOU,Unchecked,,,-18,-19.6,,-17.8,,,,,,,,,,
380408,,TEMU9867209,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-25.31,,-22,,,,,,,,,,
260382,,TEMU9878327,0,ESVLC,USHOU/ESVLC/USHOU,Checked,,,-2,-2.06,,-0.56,,,0,,,,0,25.5,,
380082,,CGMU5459994,1,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-20,-23.2,,-19.8,,,,,,,,,,
380084,,CGMU5116070,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-18,-17.9,,-16.6,,,,,,,,,,
380086,,CGMU5404179,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,20,19.9,,20.4,,,,,,,,,,
380182,,CXRU1282901,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,-20,-21.3,,-19.9,,,,,,,,,,
380184,,CGMU9384830,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-20,-20.9,,-20.09,,,,,,,,,,
380282,,TTNU8295478,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,-18,-20.5,,-18.1,,,,,,,,,,
380284,,TEMU9155159,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-20,-25.3,,-20,,,,,,,,,,
380286,,CGMU5398902,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,20,20.5,,20.7,,,,,,,,,,
380382,,CRLU1610056,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,-20,-22.4,,-20,,,,,,,,,,
380384,,SZLU9028233,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,-20,-22,,-20.2,,,,,,,,,,
380412,,CGMU5073403,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,-18,-21.5,,-17.9,,,,,,,,,,
380482,,TCLU1338942,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-18,-23.1,,-17.4,,,,,,,,,,
380484,,TEMU9876849,0,ESVLC,MXVER/ESVLC/MXVER,Checked,,,-20,-21.88,,-20,,,0,,,,0,25.5,,
511082,,TRIU6641302,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,4,4,,4.9,,,,,,,,,,
340310,,CGMU5144662,0,DOCAU,MXVER/DOCAU/MXVER,Checked,,,23,23,,23.4,,,,,,,,,,
340308,,APRU6107076,0,DOCAU,MXVER/DOCAU/MXVER,Unchecked,,,23,23,,23.7,,,,,,,,,,
340306,,TCLU1060316,0,DOCAU,MXVER/DOCAU/MXVER,Unchecked,,,23,22.9,,24,,,,,,,,,,
461082,,CGMU5527194,0,COCTG,USHOU/COCTG/USHOU,Checked,,,-21,-23.7,,-20.2,,,,,,,,,,
460402,,SZLU9224339,0,COCTG,MXVER/COCTG/MXVER,Checked,,,-0.5,-0.67,,0.22,,,,,,,,,,
