Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
341384,,CGMU5262942,0,USHOU,MTMLA/USHOU/JPHMD,Checked,,,9.4,10.02,,9.71,,,,,,,,,,
380512,,SEGU9156267,0,USHOU,ESALG/USHOU/CDMAT,Unchecked,,,-18,-21.2,,-18.2,,,,,,,,,,
421306,,TEMU9444423,0,USHOU,ESVLC/USHOU/ESVLC,Unchecked,,,9,8.8,,9.7,,,,,,,,,,
380510,,CGMU5174604,0,USHOU,ESALG/USHOU/GHTEM,Unchecked,,,-18,-21.1,,-18,,,,,,,,,,
341382,,TTNU8777084,0,USHOU,MTMLA/USHOU/**AVC,Unchecked,,,20,19.9,,20.7,,,,,,,,,,
341182,,TTNU8840356,0,USHOU,MTMLA/USHOU/AEJEA,Unchecked,,,5,4.9,,5.8,,,,,,,,,,
380508,,SZLU9191997,0,USHOU,ESALG/USHOU/GHTEM,Unchecked,,,-18,-20.5,,-17.7,,,,,,,,,,
,,RMMU4383880,2,,,Checked,,,,,,,,,,,,,,,,
300508,,TTNU8637143,0,MXVER,ESALG/ESALG,Checked,,,5,4.88,,4.81,,,5,4.8,,,5,4.8,,
300806,,IKSU4008310,0,MXVER,ESALG/ESALG,Checked,,,5,4.94,,5.5,,,5,4.9,,,5,5.7,,
300610,,TTNU8627844,0,MXVER,ESALG/ESALG,Checked,,,5,5,,5.88,,,5,5.1,,,5,5.8,,
300606,,TLLU1060530,0,MXVER,ESALG/ESALG,Checked,,,5,5,,5.75,,,5,9.2,,,5,6,,
301010,,TLLU1070987,0,MXVER,ESALG/ESALG,Checked,,,5,4.88,,5.25,,,5,5,,,5,5.7,,
300510,,TLLU1049402,0,MXVER,ESALG/ESALG,Checked,,,5,5,,5.56,,,5,4.9,,,5,4.9,,
300708,,TTNU8620156,0,MXVER,ESALG/ESALG,Checked,,,4,4.19,,4.5,,,5,6,,,5,4.8,,
300710,,TTNU8627823,0,MXVER,ESALG/ESALG,Checked,,,5,5.13,,5.69,,,5,4.9,,,5,4.9,,
300910,,TTNU8635963,0,MXVER,ESALG/ESALG,Checked,,,6,6.13,,6,,,4,3.9,,,6,6.2,,
300810,,CAIU5509965,0,MXVER,ESALG/ESALG,Checked,,,6.5,6.75,,6.75,,,5,4.9,,,5,4.8,,
261588,,TTNU8882095,0,MXVER,COCTG/PAMIT,Checked,,,18,18,,18.44,,,0,,,,0,25.5,,
301006,,TLLU1050980,0,MXVER,ESALG/ESALG,Unchecked,,,5.6,5.5,,6.1,,,,4.8,,,,4.6,,
301008,,TLLU1053402,0,MXVER,ESALG/ESALG,Unchecked,,,5,5,,5.5,,,,5.2,,,,5,,
300706,,TCLU1386257,0,MXVER,ESALG/ESALG,Unchecked,,,5.5,5.5,,6.3,,,,7.3,,,,4.9,,
300612,,IKSU4010719,0,MXVER,ESALG/ESALG,Unchecked,,,5,5,,5.5,,,,5.9,,,,5.8,,
