Location,,ContainerID,Alms,LoadPort,Disch.Port,,Monitored,,Temp SP,Supply,,,Return,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
260910,,CGMU5194323,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,17.86,,,19.29,,,,,,,,,
260912,,CGMU5163580,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,18,,,18.7,,,,,,,,,
260908,,CGMU5254398,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,17.46,,,18.09,,,,,,,,,
590982,,CGMU3075520,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,25,25.59,,,25.15,,,,,,,,,
580584,,CGMU5128698,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,15,15,,,16.2,,,,,,,,,
580782,,CRSU6014332,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,-20,-21,,,-20.1,,,,,,,,,
580582,,TEMU9237154,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,4,3.96,,,4.28,,,,,,,,,
340882,,CGMU4944260,0,ESBCN,USHOU/ESBCN/USHOU,,Checked,,-18,-23.13,,,-17.81,,,,,,,,,
580886,,CGMU9294110,0,ESBCN,MXVER/ESBCN/MXVER,,Checked,,-22,-27.5,,,-22,,,,,,,,,
580686,,CGMU9295841,0,ESBCN,MXVER/ESBCN/MXVER,,Checked,,-22,-20.5,,,-21.1,,,,,,,,,
580882,,CRXU6936762,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-23.1,,,-22.6,,,,,,,,,
580684,,CGMU6526130,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-22.4,,,-22.1,,,,,,,,,
580682,,TCLU1142380,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-22,,,-22.2,,,,,,,,,
580884,,TRIU8654232,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-23.5,,,-22.3,,,,,,,,,
580688,,TTNU8641360,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,20,20.1,,,20.3,,,,,,,,,
341082,,CGMU5416246,1,ESVLC,USHOU/ESVLC/USHOU,,Checked,,-18,-22.3,,,-17.6,,,,,,,,,
341086,,CGMU5363589,0,ESVLC,USHOU/ESVLC/USHOU,,Checked,,-21,-20.33,,,-20.86,,,,,,,,,
341282,,AMCU9276965,0,ESVLC,USHOU/ESVLC/USHOU,,Checked,,-3,-3.02,,,-1.93,,,,,,,,,
340888,,TEMU9044031,0,ESVLC,USHOU/ESVLC/USHOU,,Unchecked,,-21,-25.1,,,-21.1,,,,,,,,,
341084,,APRU5855860,0,ESVLC,USHOU/ESVLC/USHOU,,Unchecked,,-22,-25.9,,,-22.3,,,,,,,,,
341284,,CAIU5545849,0,ESVLC,USHOU/ESVLC/USHOU,,Unchecked,,-22,-22.3,,,-22.1,,,,,,,,,
341286,,TRIU8039043,0,ESVLC,USHOU/ESVLC/USHOU,,Unchecked,,-21,-23.5,,,-20.4,,,,,,,,,
380582,,TLLU1160165,0,ESVLC,MXVER/JMKIN/ESVLC/MXVER,,Unchecked,,4,4,,,4.1,,,,,,,,,
220608,,APRU5817941,0,COCTG,USHOU/COCTG/USHOU,,Unchecked,,-18,-19.2,,,-18.1,,,,,,,,,
220604,,CGMU5417725,0,COCTG,USHOU/COCTG/USHOU,,Checked,,-21,-21.5,,,-20.4,,,,,,,,,
220606,,CGMU5599527,0,COCTG,USHOU/COCTG/USHOU,,Checked,,-21,-23.81,,,-21.31,,,,,,,,,
220612,,TTNU8646314,0,COCTG,USHOU/COCTG/USHOU,,Unchecked,,-20,-22.2,,,-20.1,,,,,,,,,
220610,,TRIU8698267,0,COCTG,USHOU/COCTG/USHOU,,Unchecked,,-21,-21.2,,,-21.6,,,,,,,,,
220602,,CGMU5606436,0,COCTG,USHOU/COCTG/USHOU,,Checked,,-21,-24.88,,,-20.88,,,,,,,,,
30384,,ITTU4051577,0,JMKIN,USHOU/JMKIN/TTPOS/USHOU,,Indeterminate,,,,,,,,,,,,,,,
