Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
341384,,CGMU5262942,0,USHOU,MTMLA/USHOU/JPHMD,Checked,,,9.4,10.38,,9.77,,,,,,,,,,
380512,,SEGU9156267,0,USHOU,ESALG/USHOU/CDMAT,Unchecked,,,-18,-22.2,,-18,,,,,,,,,,
421306,,TEMU9444423,0,USHOU,ESVLC/USHOU/ESVLC,Unchecked,,,9,9,,9.6,,,,,,,,,,
380510,,CGMU5174604,0,USHOU,ESALG/USHOU/GHTEM,Unchecked,,,-18,-22.3,,-18,,,,,,,,,,
341382,,TTNU8777084,0,USHOU,MTMLA/USHOU/**AVC,Unchecked,,,20,20.1,,20.6,,,,,,,,,,
341182,,TTNU8840356,0,USHOU,MTMLA/USHOU/AEJEA,Unchecked,,,5,5.1,,5.7,,,,,,,,,,
380508,,SZLU9191997,0,USHOU,ESALG/USHOU/GHTEM,Unchecked,,,-18,-20.5,,-18,,,,,,,,,,
,,RMMU4383880,2,,,Checked,,,,,,,,,,,,,,,,
300508,,TTNU8637143,0,MXVER,ESALG/ESALG,Checked,,,5,5,,4.88,,,5,5,,,5,4.7,,
300806,,IKSU4008310,0,MXVER,ESALG/ESALG,Checked,,,5,4.88,,5.5,,,5,4.9,,,5,5.7,,
300610,,TTNU8627844,0,MXVER,ESALG/ESALG,Checked,,,5,5.06,,5.88,,,5,5.1,,,5,5.4,,
300606,,TLLU1060530,0,MXVER,ESALG/ESALG,Checked,,,5,5.06,,5.81,,,5,8.5,,,5,6.1,,
301010,,TLLU1070987,0,MXVER,ESALG/ESALG,Checked,,,5,4.94,,5.25,,,5,4.9,,,5,5.1,,
300510,,TLLU1049402,0,MXVER,ESALG/ESALG,Checked,,,5,4.81,,5.56,,,5,4.9,,,5,4.8,,
300708,,TTNU8620156,0,MXVER,ESALG/ESALG,Checked,,,4,3.94,,4.56,,,5,5.3,,,5,5.1,,
300710,,TTNU8627823,0,MXVER,ESALG/ESALG,Checked,,,5,4.94,,5.69,,,5,4.9,,,5,4.7,,
300910,,TTNU8635963,0,MXVER,ESALG/ESALG,Checked,,,6,6.13,,6,,,4,4,,,6,6.4,,
300810,,CAIU5509965,0,MXVER,ESALG/ESALG,Checked,,,6.5,6.81,,6.69,,,5,5,,,5,5,,
261588,,TTNU8882095,0,MXVER,COCTG/PAMIT,Checked,,,18,18,,18.81,,,0,,,,0,25.5,,
301006,,TLLU1050980,0,MXVER,ESALG/ESALG,Unchecked,,,5.6,5.5,,7.1,,,,5,,,,4.8,,
301008,,TLLU1053402,0,MXVER,ESALG/ESALG,Unchecked,,,5,5,,5.5,,,,4.9,,,,5.4,,
300706,,TCLU1386257,0,MXVER,ESALG/ESALG,Unchecked,,,5.5,5.5,,6.2,,,,6,,,,5.8,,
300612,,IKSU4010719,0,MXVER,ESALG/ESALG,Unchecked,,,5,5.1,,5.4,,,,5.6,,,,5.5,,
300608,,CAIU5589507,0,MXVER,ESALG/ESALG,Unchecked,,,6.5,6.4,,7.5,,,,4.9,,,,5.5,,
341184,,SZLU9566516,0,MXVER,**MLT/**MLT,Checked,,,18,17.99,,17.97,,,,,,,,,,
341486,,TTNU8038470,0,MXVER,**MLT/**MLT,Unchecked,,,18,18.1,,18.6,,,,,,,,,,
420610,,CGMU5451714,0,MXVER,ESVLC/ESVLC,Checked,,,0,0.2,,1.5,,,,,,,,,,
300906,,CAIU5535497,0,MXVER,ESALG/ESALG,Unchecked,,,5.5,5.4,,6.1,,,,9,,,,4.9,,
340982,,TTNU8628389,0,MXVER,**MLT/**MLT,Checked,,,7.19,7.19,,7.06,,,5,6.6,,,5,4.6,,
300908,,CAIU5557984,0,MXVER,ESALG/ESALG,Unchecked,,,5,4.9,,5.5,,,,5,,,,5.5,,
