Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,Temp SP,,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
540384,,CGMU4954226,0,PAMIT,ESBCN/NICIO,Checked,,-17.81,,-21.63,,-17.38,,,,,,,,,,
540382,,TTNU8220756,0,PAMIT,ESVLC/NICIO,Unchecked,,-23,,-26.9,,-25.5,,,,,,,,,,
340412,,BMOU9644433,0,CRMOB,ESBCN,Checked,,13.31,,13.5,,13.69,,,0,20.3,,,0,0.4,,
340384,,CXRU1528580,0,CRMOB,ESBCN,Unchecked,,13.3,,13.4,,13.8,,,,,,,,,,
340382,,CGMU4989881,0,CRMOB,ESBCN,Checked,,13.9,,13.89,,14.61,,,,,,,,,,
340410,,APRU5600160,0,CRMOB,ESBCN,Unchecked,,13.9,,14.1,,14.4,,,,,,,,,,
340408,,APRU5841505,0,CRMOB,ESBCN,Unchecked,,13.9,,14.1,,14.4,,,,,,,,,,
340406,,TCLU1075574,0,CRMOB,ESBCN,Unchecked,,13.9,,14,,14.5,,,,,,,,,,
540182,,CGMU5179910,0,CRMOB,ESVLC,Checked,,-23,,-26.7,,-22.8,,,,,,,,,,
540184,,CGMU5103149,0,CRMOB,ESVLC,Checked,,-18,,-24.2,,-17,,,,,,,,,,
540082,,CGMU5084537,0,CRMOB,ESVLC,Unchecked,,-23,,-24.4,,-23.3,,,,,,,,,,
420302,,TLLU1045325,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-23.81,,-19.94,,,0,,,,0,25.5,,
420410,,CGMU5269079,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-20.78,,14.8,,,,,,,,,,
420404,,CGMU5460193,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-27.5,,-24.8,,,,,,,,,,
,,RMMU4422370,2,,,Checked,,,,,,,,,,,,,,,,
420312,,CGMU5183801,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-25.22,,-25.21,,,,,,,,,,
420310,,SEKU9060827,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-26.81,,-23.13,,,,,,,,,,
420282,,CXRU1638401,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-25.88,,-23,,,,,,,,,,
420482,,CGMU5198838,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-28.26,,-25,,,,,,,,,,
420382,,CGMU5567767,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-21,,-18.7,,,,,,,,,,
420184,,TLLU1069667,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-22.06,,-20,,,0,0,,,0,25.5,,
420084,,CGMU5197370,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-28.04,,-25.09,,,,,,,,,,
420306,,FSCU5963764,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27.6,,-25.1,,,,,,,,,,
420082,,TRIU8511334,0,COCTG,ESVLC/ESVLC,Unchecked,,13,,12.9,,13.7,,,,,,,,,,
340082,,TTNU8204781,0,COCTG,ESBCN/ESBCN,Unchecked,,2,,2.1,,2.7,,,,,,,,,,
420408,,CGMU5435971,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27,,-24.9,,,,,,,,,,
340386,,CGMU5479218,0,COCTG,ESBCN/ESBCN,Checked,,1,,0.85,,1.14,,,,,,,,,,
340182,,APRU5855330,0,COCTG,ESBCN/ESBCN,Unchecked,,2,,2.1,,2.8,,,,,,,,,,
420406,,CXRU1383790,0,COCTG,ESVLC/ESVLC,Unchecked,,-18,,-22,,-18.3,,,,,,,,,,
420412,,SEGU9530490,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-26,,-25.3,,,,,,,,,,
420182,,TRIU8504799,0,COCTG,ESVLC/ESVLC,Unchecked,,-18,,-18.9,,-18,,,,,,,,,,
340184,,SZLU9498155,0,COCTG,ESBCN/ESBCN,Checked,,1,,0.99,,1.61,,,,,,,,,,
420308,,TEMU9238269,0,COCTG,ESVLC/ESVLC,Unchecked,,-21,,-22,,-21.1,,,,,,,,,,
340084,,CGMU6913904,0,COCTG,ESBCN/ESBCN,Checked,,1,,1,,1.6,,,,,,,,,,
420304,,SEGU9964157,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27.5,,-25.3,,,,,,,,,,
180402,,CGMU4983570,0,ESALG,ESVLC/MAAGA/ESVLC,Checked,,-20,,-25.46,,-20.03,,,,,,,,,,
180408,,CGMU9324425,0,ESALG,ESVLC/MAAGA/ESVLC,Checked,,-20,,-26.21,,-19.93,,,,,,,,,,
421310,,APRU6116355,0,ESALG,GPPTP/ESVGO/GPPTP,Unchecked,,-20,,-22.6,,-20.7,,,,,,,,,,
180410,,CAIU5539430,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-22.5,,-20.1,,,,,,,,,,
180412,,CGMU5093483,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-22.3,,-20.2,,,,,,,,,,
260808,,CGMU9362169,0,ESALG,COCTG/ESALG/CLSAI,Checked,,16,,15.99,,16.39,,,,,,,,,,
180406,,SEGU9130051,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-21.3,,-20.4,,,,,,,,,,
180404,,TRIU8070671,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-22.4,,-20.1,,,,,,,,,,
180308,,TTNU8664494,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-21.7,,-20.2,,,,,,,,,,
260806,,TTNU8777973,0,ESALG,COCTG/ESALG/CLSAI,Unchecked,,16,,16.2,,16.4,,,,,,,,,,
340910,,CGMU4946658,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-20.88,,-17.5,,,,,,,,,,
261212,,CGMU4994954,0,MTMLA,DOCAU/INCOK/DOCAU,Checked,,-21,,-20.97,,-21.16,,,,,,,,,,
340908,,GESU9552448,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-17.97,,-17.97,,,,,,,,,,
340710,,CAIU5588630,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-20.19,,-17.94,,,0,20.7,,,0,25.5,,
300810,,TCLU1144546,0,MTMLA,JMKIN/TRMER/VEPBL,Unchecked,,17,,16.9,,17.5,,,,,,,,,,
300706,,BMOU9725788,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,14,,14.1,,15.1,,,,,,,,,,
300906,,CGMU5364538,0,MTMLA,JMKIN/TRMER/VELAG,Checked,,18,,17.24,,18.13,,,,,,,,,,
300808,,CGMU5314753,0,MTMLA,JMKIN/TRMER/VELAG,Checked,,18,,18,,18.3,,,,,,,,,,
300708,,APRU5777730,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,18,,18.1,,18.5,,,,,,,,,,
301010,,GESU9590345,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,18,,18.1,,18.3,,,,,,,,,,
300806,,APRU5797402,0,MTMLA,JMKIN/LBBEY/VELAG,Unchecked,,18,,18.1,,18.6,,,,,,,,,,
300910,,APRU5798939,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,-20,,-21.2,,-20,,,,,,,,,,
301008,,SZLU9625774,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,-20,,-23.6,,-20.2,,,,,,,,,,
220610,,TCLU1283074,0,MTMLA,COCTG/INMUN/COCTG,Unchecked,,22,,22.2,,22.7,,,,,,,,,,
261112,,CGMU5058733,0,MTMLA,DOCAU/INNSA/DOCAU,Checked,,-20,,-13.5,,4.3,,,,,,,,,,
300908,,SZLU9642200,0,MTMLA,JMKIN/INNSA/JMKIN,Unchecked,,-20,,-21,,-19.8,,,,,,,,,,
341206,,CRSU6095972,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-18.9,,-17.9,,,,,,,,,,
341208,,CGMU9318470,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-18.7,,-18,,,,,,,,,,
220612,,CGMU5479780,0,MTMLA,COCTG/SIKOP/COCTG,Checked,,20,,19.64,,20.19,,,,,,,,,,
340808,,TRIU8127334,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-19.2,,-18,,,,,,,,,,
301006,,CGMU5242015,0,MTMLA,JMKIN/INCOK/MXPGO,Checked,,-18,,-17.25,,-17.85,,,,,,,,,,
