Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
380582,,TGHU9905954,0,MTMLA,JMKIN/EGEDK/HTLFF,Unchecked,,,5,4.8,,5.5,,,,,,,,,,
260910,,CGMU5194323,0,MTMLA,MXVER/INMUN/MXVER,Checked,,,18,17.97,,19.24,,,,,,,,,,
260912,,CGMU5163580,0,MTMLA,MXVER/INMUN/MXVER,Checked,,,18,18,,18.5,,,,,,,,,,
381382,,TCLU1135713,0,MTMLA,JMKIN/EGDAM/HTLFF,Unchecked,,,18,18,,17.9,,,,,,,,,,
381182,,APRU5716036,0,MTMLA,JMKIN/EGDAM/HTLFF,Unchecked,,,18,18.3,,17.9,,,,,,,,,,
380782,,SZLU9631674,0,MTMLA,JMKIN/INMUN/BZBZE,Unchecked,,,-21,-23.2,,-20.6,,,,,,,,,,
380982,,TRIU8136676,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,,-20,-23.8,,-20,,,,,,,,,,
260908,,CGMU5254398,0,MTMLA,MXVER/INMUN/MXVER,Checked,,,18,18.59,,18.2,,,,,,,,,,
590982,,CGMU3075520,0,ITGOA,MXVER/ITGOA/MXVER,Checked,,,25,25.42,,25.05,,,,,,,,,,
580584,,CGMU5128698,0,ITGOA,MXVER/MXVER,Checked,,,15,15,,15.9,,,,,,,,,,
580782,,CRSU6014332,0,ITGOA,MXVER/ITGOA/MXVER,Unchecked,,,-20,-21.1,,-20,,,,,,,,,,
580582,,TEMU9237154,0,ITGOA,MXVER/ITGOA/MXVER,Checked,,,4,4.7,,4.59,,,,,,,,,,
21082,,TTNU8651727,0,ITGOA,JMKIN/ITGOA/PFPPT,Unchecked,,,14,14.28,,15.23,,,,,,,,,,
580384,,CGMU9340344,0,FRMRS,JMKIN/FRMRS/TRTRG,Checked,,,14,14.01,,14.29,,,,,,,,,,
580382,,APRU6135334,0,FRMRS,JMKIN/FRMRS/WIWIL,Unchecked,,,-20,-23.2,,-20,,,,,,,,,,
340882,,CGMU4944260,0,ESBCN,USHOU/ESBCN/USHOU,Checked,,,-18,-20.88,,-17.88,,,,,,,,,,
270406,,CGMU3020174,0,ESBCN,JMKIN/ESBCN/PFPPT,Unchecked,,,-18,-21.12,,-17.89,,,,,,,,,,
580886,,CGMU9294110,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-20.4,,-21.1,,,,,,,,,,
270408,,CGMU3059176,0,ESBCN,JMKIN/ESBCN/NCNOU,Unchecked,,,2,1.77,,2.34,,,,,,,,,,
580686,,CGMU9295841,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-26.9,,-22.9,,,,,,,,,,
580882,,CRXU6936762,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.2,,-22.5,,,,,,,,,,
580684,,CGMU6526130,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-22.5,,-22,,,,,,,,,,
580284,,APRU6139664,0,ESBCN,JMKIN/ESBCN/MXPGO,Unchecked,,,-22,-24,,-22,,,,,,,,,,
580682,,TCLU1142380,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-22.1,,-22.1,,,,,,,,,,
580884,,TRIU8654232,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.6,,-22.2,,,,,,,,,,
260412,,APRU5779348,0,ESBCN,JMKIN/ESBCN/VELAG,Unchecked,,,-22,-23.9,,-22,,,,,,,,,,
580688,,TTNU8641360,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,20,20,,20.4,,,,,,,,,,
420482,,TTNU8689091,0,ESVLC,JMKIN/ESVLC/MXPGO,Unchecked,,,-20,-21.47,,-20.32,,,,,,,,,,
420282,,CGMU9289073,0,ESVLC,JMKIN/ESVLC/VEGUT,Unchecked,,,15,15.61,,16.03,,,,,,,,,,
341082,,CGMU5416246,1,ESVLC,USHOU/ESVLC/USHOU,Checked,,,-18,-17.5,,-17.5,,,,,,,,,,
341086,,CGMU5363589,0,ESVLC,USHOU/PTSET/USHOU,Checked,,,-21,-25.57,,-21.8,,,,,,,,,,
341282,,AMCU9276965,0,ESVLC,USHOU/ESVLC/USHOU,Checked,,,-3,-3.07,,-2.06,,,,,,,,,,
340888,,TEMU9044031,0,ESVLC,USHOU/PTSET/USHOU,Unchecked,,,-21,-25.2,,-21,,,,,,,,,,
341084,,APRU5855860,0,ESVLC,USHOU/ESVLC/USHOU,Unchecked,,,-22,-26,,-22.2,,,,,,,,,,
341284,,CAIU5545849,0,ESVLC,USHOU/ESVLC/USHOU,Unchecked,,,-22,-22.4,,-22,,,,,,,,,,
341286,,TRIU8039043,0,ESVLC,USHOU/PTSET/USHOU,Unchecked,,,-21,-23.6,,-20.3,,,,,,,,,,
420484,,TEMU9275513,0,ESVLC,JMKIN/ESVLC/CRMOB,Unchecked,,,-20,-20.3,,-19.6,,,,,,,,,,
420486,,TCLU1069925,0,ESVLC,JMKIN/ESVLC/CUMAR,Unchecked,,,-18,-23.3,,-17.9,,,,,,,,,,
420682,,CGMU9368995,0,ESVLC,JMKIN/ESVLC/JMKIN,Unchecked,,,4,4,,4.4,,,,,,,,,,
430410,,TRIU6626972,0,ESVLC,JMKIN/ESVLC/PFPPT,Unchecked,,,-20,-24.9,,-20.9,,,,,,,,,,
581386,,TLLU1160165,0,ESVLC,MXVER/ESVLC/MXVER,Unchecked,,,4,3.9,,4.1,,,,,,,,,,
220612,,APRU5817941,0,COCTG,USHOU/USHOU,Unchecked,,,-18,-19.3,,-18,,,,,,,,,,
220608,,CGMU5417725,0,COCTG,USHOU/USHOU,Checked,,,-21,-27.2,,-20.7,,,,,,,,,,
220604,,CGMU5599527,0,COCTG,USHOU/USHOU,Checked,,,-21,-23.69,,-21.13,,,,,,,,,,
220610,,TTNU8646314,0,COCTG,USHOU/USHOU,Unchecked,,,-20,-22.3,,-20,,,,,,,,,,
381484,,TRIU8878253,0,COCTG,JMKIN/JMKIN,Unchecked,,,-22,-22.8,,-22.2,,,,,,,,,,
220606,,TRIU8698267,0,COCTG,USHOU/USHOU,Unchecked,,,-21,-21.3,,-21.4,,,,,,,,,,
220602,,CGMU5606436,0,COCTG,USHOU/USHOU,Checked,,,-21,-24.81,,-20.88,,,,,,,,,,
