Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
301482,,CGMU5192486,0,MTMLA,USHOU/INMUN/USHOU,,,,Unchecked,-18,-19,,-17.8
460582(*),,CGMU4990497,0,MTMLA,COCTG/INVTZ/JMMBJ,,,,Checked,-18,-19.65,,-18.24
460682(*),,CGMU5160869,0,ITLIV,COCTG/ITLIV/COCTG,,,,Checked,12,12,,12.5
461482(*),,CGMU5376288,0,ITLIV,COCTG/ITLIV/COCTG,,,,Checked,12,11.8,,12.4
460882(*),,CGMU6548550,0,ITLIV,COCTG/ITLIV/COCTG,,,,Checked,12,12.13,,13.19
301182,,SZLU9204775,0,ITLIV,USHOU/ITLIV/USHOU,,,,Unchecked,14,14,,14.5
460884(*),,TCLU1286427,0,ITLIV,COCTG/ITLIV/COCTG,,,,Checked,12,11.94,,12.25
260908,,APRU6130883,0,ITGOA,MXVER/ITGOA/MXVER,,,,Unchecked,19,19.2,,18.8
260910,,BMOU9878703,0,ITGOA,MXVER/MXVER,,,,Unchecked,20,20,,19.8
260712(*),,CGMU5133098,0,ITGOA,COCTG/ITGOA/PAMIT,,,,Checked,0,0,,1.9
260804(*),,CGMU5135660,0,ITGOA,COCTG/ITGOA/COBAQ,,,,Checked,0,0,,1.6
261212(*),,CGMU5317942,0,ITGOA,JMKIN/ITGOA/PFPPT,,,,Checked,14,14.07,,14.39
260906,,CGMU5351171,0,ITGOA,MXVER/ITGOA/MXVER,,,,Checked,15,15.1,,16.2
260904,,CGMU7600165,0,ITGOA,MXVER/ITGOA/MXVER,,,,Unchecked,-20,-22.3,,-20.1
261006(*),,CGMU9379496,0,ITGOA,COCTG/ITGOA/COBAQ,,,,Checked,1,2.33,,1.94
261008(*),,CRSU6108004,0,ITGOA,COCTG/ITGOA/COBAQ,,,,Checked,0,0.62,,0.7
260504(*),,CRSU6114861,0,ITGOA,COCTG/ITGOA/COBUN,,,,Checked,0,1.28,,0.87
260704(*),,TEMU9154738,0,ITGOA,COCTG/ITGOA/COCTG,,,,Checked,0,0,,1.7
260912,,TTNU8055857,0,ITGOA,MXVER/MXVER,,,,Unchecked,20,20.2,,19.8
,,RMMU2386680,2,,,,,,Checked,,,,
180686(*),,TTNU8702911,0,ESBCN,JMKIN/ESBCN/CRMOB,,,,Checked,-21,-22.75,,-20.94
580682,,CGMU5320150,0,ESBCN,MXVER/ESBCN/MXVER,,,,Unchecked,4,4,,4.4
191484(*),,CRLU3602635,0,ESBCN,JMKIN/ESBCN/PFPPT,,,,Checked,-19,-19.5,,-18.38
580884,,TRIU8620422,0,ESBCN,MXVER/ESBCN/MXVER,,,,Unchecked,5,5,,5.5
580684,,CXRU1608618,0,ESBCN,MXVER/ESBCN/MXVER,,,,Checked,5,5.13,,5.88
581082,,TTNU8501671,0,ESBCN,MXVER/ESBCN/MXVER,,,,Unchecked,5,5,,5.4
180684(*),,CGMU5141998,0,ESBCN,JMKIN/ESBCN/HTLFF,,,,Checked,-20,-22.5,,-19.1
580882,,TLLU1046091,0,ESBCN,MXVER/ESBCN/MXVER,,,,Checked,4,-18.38,,4.75
191682(*),,CGMU3066555,0,ESBCN,JMKIN/ESBCN/PFPPT,,,,Checked,-18,-17.87,,-19.3
580686,,CGMU5378280,0,ESBCN,MXVER/ESBCN/MXVER,,,,Checked,20,20.31,,20.81
31182,,CGMU3076595,0,ESBCN,MXVER/ESBCN/MXVER,,,,Checked,20,19.3,,19.93
150282,,CXRU1236531,0,ESVLC,MXVER/ESVLC/MXVER,,,,Unchecked,0,0,,0.6
150482,,CGMU3087389,0,ESVLC,MXVER/ESVLC/MXVER,,,,Checked,20,20,,20.88
180412,,TTNU8686169,0,ESVLC,MXVER/ESVLC/MXVER,,,,Checked,20,20,,20.17
430612(*),,CGMU3052485,0,ESVLC,COCTG/ESVLC/ECGYE,,,,Checked,4,3.08,,3.71
500284(*),,CGMU5095470,0,ESVLC,COCTG/ESVLC/PAMIT,,,,Checked,-18,-17.75,,-18.31
500382(*),,AMCU9260819,0,ESVLC,COCTG/ESVLC/CLSAI,,,,Checked,-22,-25.49,,-21.78
500582(*),,TCLU1281282,0,ESVLC,JMKIN/ESVLC/VEEGU,,,,Checked,4,3.75,,5
,,RMMU4038350,2,,,,,,Checked,,,,
381582,,TCLU1132885,0,COCTG,USHOU/USHOU,,,,Indeterminate,,,,
