Location,,ContainerID,Alms,LoadPort,Disch.Port,,Monitored,,Temp SP,Supply,,,Return,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
260910,,CGMU5194323,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,17.97,,,19.46,,,,,,,,,
260912,,CGMU5163580,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,18,,,18,,,,,,,,,
260908,,CGMU5254398,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,18.05,,,18.04,,,,,,,,,
590982,,CGMU3075520,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,25,25.39,,,25.04,,,,,,,,,
580584,,CGMU5128698,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,15,15,,,15.8,,,,,,,,,
580782,,CRSU6014332,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,-20,-21.1,,,-19.7,,,,,,,,,
580582,,TEMU9237154,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,4,4.97,,,4.81,,,,,,,,,
580886,,CGMU9294110,0,ESBCN,MXVER/ESBCN/MXVER,,Checked,,-22,-23.4,,,-22.4,,,,,,,,,
580686,,CGMU9295841,0,ESBCN,MXVER/ESBCN/MXVER,,Checked,,-22,-26.1,,,-22,,,,,,,,,
580882,,CRXU6936762,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-23.2,,,-22.2,,,,,,,,,
580684,,CGMU6526130,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-22.5,,,-21.7,,,,,,,,,
580682,,TCLU1142380,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-22.1,,,-21.7,,,,,,,,,
580884,,TRIU8654232,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-23.6,,,-21.9,,,,,,,,,
580688,,TTNU8641360,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,20,20,,,20.7,,,,,,,,,
380582,,TLLU1160165,0,ESVLC,MXVER/JMKIN/ESVLC/MXVER,,Unchecked,,4,3.9,,,4.4,,,,,,,,,
300584,,SEKU9058286,0,USHOU,MTMLA/USHOU/SAJED,,Checked,,14,14.19,,,15.13,,,,,,,,,
300686,,CGMU5054321,0,USHOU,MTMLA/USHOU/SAJED,,Indeterminate,,,,,,,,,,,,,,,
300588,,CGMU5258351,0,USHOU,MTMLA/USHOU/JOAQJ,,Checked,,20,19.34,,,20.06,,,,,,,,,
291410,,CGMU2998185,0,USHOU,MTMLA/USHOU/KWSAA,,Checked,,5,5.13,,,6.88,,,,,,,,,
300684,,CGMU4977941,0,USHOU,MTMLA/USHOU/SAJED,,Checked,,14,14.03,,,14.67,,,,,,,,,
300582,,CGMU5058029,0,USHOU,MTMLA/USHOU/SAJED,,Checked,,14,14,,,14.5,,,,,,,,,
300682,,TRIU8124280,0,USHOU,MTMLA/USHOU/SAJED,,Indeterminate,,,,,,,,,,,,,,,
580182,,CXRU1314568,0,USHOU,ESALG/USHOU/GQSSG,,Indeterminate,,,,,,,,,,,,,,,
580382,,TEMU9252267,0,USHOU,ESALG/USHOU/GQSSG,,Indeterminate,,,,,,,,,,,,,,,
580082,,TRIU8687004,0,USHOU,ESALG/USHOU/GQBSG,,Indeterminate,,,,,,,,,,,,,,,
300586,,CGMU5424600,0,USHOU,MTMLA/USHOU/TRAVC,,Checked,,20,19.96,,,20.83,,,,,,,,,
380108,,CGMU5389433,0,USHOU,COCTG/USHOU/COCTG,,Checked,,22,22.2,,,22.1,,,,,,,,,
300688,,CGMU5516630,0,USHOU,MTMLA/USHOU/TRAVC,,Checked,,20,19.38,,,20.15,,,,,,,,,
