Location,,ContainerID,Alms,LoadPort,Disch.Port,,Monitored,,Temp SP,Supply,,,Return,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
260910,,CGMU5194323,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,17.9,,,19.28,,,,,,,,,
260912,,CGMU5163580,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,18,,,18,,,,,,,,,
260908,,CGMU5254398,0,MTMLA,MXVER/MTMLA/MXVER,,Checked,,18,18.64,,,18.28,,,,,,,,,
590982,,CGMU3075520,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,25,25.27,,,25.11,,,,,,,,,
580584,,CGMU5128698,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,15,15,,,15.9,,,,,,,,,
580782,,CRSU6014332,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,-20,-20.1,,,-20.7,,,,,,,,,
580582,,TEMU9237154,0,ITGOA,MXVER/ITGOA/MXVER,,Checked,,4,1.62,,,4,,,,,,,,,
580886,,CGMU9294110,0,ESBCN,MXVER/ESBCN/MXVER,,Checked,,-22,-25.1,,,-22.7,,,,,,,,,
580686,,CGMU9295841,0,ESBCN,MXVER/ESBCN/MXVER,,Checked,,-22,-22.8,,,-22.5,,,,,,,,,
580882,,CRXU6936762,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-23.1,,,-22.4,,,,,,,,,
580684,,CGMU6526130,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-22.4,,,-21.9,,,,,,,,,
580682,,TCLU1142380,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-22,,,-22.2,,,,,,,,,
580884,,TRIU8654232,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,-22,-23.4,,,-22,,,,,,,,,
580688,,TTNU8641360,0,ESBCN,MXVER/ESBCN/MXVER,,Unchecked,,20,20.1,,,20.8,,,,,,,,,
380582,,TLLU1160165,0,ESVLC,MXVER/JMKIN/ESVLC/MXVER,,Unchecked,,4,4,,,4.3,,,,,,,,,
300584,,SEKU9058286,0,USHOU,MTMLA/USHOU/SAJED,,Checked,,14,13.88,,,15.19,,,,,,,,,
300686,,CGMU5054321,0,USHOU,MTMLA/USHOU/SAJED,,Unchecked,,14,14.1,,,14.5,,,,,,,,,
300588,,CGMU5258351,0,USHOU,MTMLA/USHOU/JOAQJ,,Checked,,20,19.37,,,20.08,,,,,,,,,
291410,,CGMU2998185,0,USHOU,MTMLA/USHOU/KWSAA,,Checked,,5,5.13,,,6.88,,,,,,,,,
300684,,CGMU4977941,0,USHOU,MTMLA/USHOU/SAJED,,Checked,,14,13.93,,,14.46,,,,,,,,,
300582,,CGMU5058029,0,USHOU,MTMLA/USHOU/SAJED,,Checked,,14,14,,,14.5,,,,,,,,,
300682,,TRIU8124280,0,USHOU,MTMLA/USHOU/SAJED,,Unchecked,,14,14.2,,,14.6,,,,,,,,,
580182,,CXRU1314568,0,USHOU,ESALG/USHOU/GQSSG,,Unchecked,,-18,-18,,,-18.4,,,,,,,,,
580382,,TEMU9252267,0,USHOU,ESALG/USHOU/GQSSG,,Unchecked,,-18,-17.7,,,-18.2,,,,,,,,,
580082,,TRIU8687004,0,USHOU,ESALG/USHOU/GQBSG,,Unchecked,,-18,-17.8,,,-18.3,,,,,,,,,
300586,,CGMU5424600,0,USHOU,MTMLA/USHOU/TRAVC,,Checked,,20,20.01,,,20.83,,,,,,,,,
380108,,CGMU5389433,0,USHOU,COCTG/USHOU/COCTG,,Checked,,22,22.1,,,22,,,,,,,,,
300688,,CGMU5516630,0,USHOU,MTMLA/USHOU/TRAVC,,Checked,,20,19.38,,,20.04,,,,,,,,,
