Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,,Supply,Return
350684,,CGMU2999807,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,-10,,-10.6,-11
350682,,CRSU5020407,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,10,,9.9,10.3
270302,,CGMU2992762,0,MTMLA,MXVER/MTMLA/MXVER,,,,,Checked,15,,14.96,15.36
,,CXRU1046207,1,,,,,,,Checked,-10,,-16.63,-10.5
461582,,CGMU6905473,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Checked,-22,,-24.3,-20.7
300686,,TCLU1211840,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-22,,-22.6,-22.8
300684,,TTNU8688752,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Checked,-20,,-28.94,-20.07
140384,,APRU5799010,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-2,,-2.2,-2.4
300682,,TRIU8516676,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,-20,,-20.4,-21.5
300688,,TCLU1054057,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,4,,4,4.4
300582,,CGMU5401230,0,COCTG,USHOU/COCTG/USHOU,,,,,Checked,-21,,-25.7,-20.8
300584,,TEMU9261551,0,COCTG,USHOU/COCTG/USHOU,,,,,Checked,-21,,-27.4,-20.3
300784,,TTNU8259573,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21.3,-21.4
300782,,TTNU8306660,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21.4,-21.6
340482,,CGMU6535553,0,JMKIN,USHOU/JMKIN/GYGEO/USHOU,,,,,Unchecked,-22,,-21.1,-22.2
,,RMMU4076580,2,,,,,,,Checked,,,,
