Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
421406,,TLLU1049830,0,ESBCN,PAMIT/ESBCN/PAMIT/PAMIT,Unchecked,,,0,0.1,,0.5,,,,,,,,,
341082,,CGMU9303340,0,USHOU,ESALG/USHOU/**PNR,Checked,,,-18,-16.97,,-17.89,,,,,,,,,
341182,,CGMU9325083,0,USHOU,ESALG/USHOU/**CKY,Checked,,,-18,-22.17,,-18.17,,,,,,,,,
341282,,GESU9525606,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-18.5,,-18.6,,,,,,,,,
340984,,CXRU1321504,0,USHOU,ESALG/USHOU/**CKY,Unchecked,,,-18,-17.7,,-19.5,,,,,,,,,
340784,,TEMU9250834,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-18.5,,-19.4,,,,,,,,,
300084,,CXRU1529484,0,USHOU,PAMIT/USHOU/CLSAI,Unchecked,,,-23,-23.9,,-24.1,,,,,,,,,
340982,,CGMU5101721,0,USHOU,ESALG/USHOU/**CKY,Checked,,,-18,-17.8,,-18.3,,,,,,,,,
340584,,TCLU1270117,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-17.7,,-19.3,,,,,,,,,
340782,,TRIU8680843,0,USHOU,ESALG/USHOU/**CKY,Unchecked,,,-18,-17.6,,-19.3,,,,,,,,,
340684,,APRU5817073,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-18.7,,-19.6,,,,,,,,,
341582,,TRIU8507340,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-17.7,,-19.4,,,,,,,,,
300282,,CXRU1628126,0,USHOU,PAMIT/USHOU/CLSAI,Unchecked,,,-23,-23,,-24.6,,,,,,,,,
341682,,CGMU5461651,0,USHOU,ESALG/USHOU/**PNR,Checked,,,-18,-22,,-17.8,,,,,,,,,
300082,,TTNU8204781,0,USHOU,PAMIT/USHOU/CLSAI,Unchecked,,,-23,-23.6,,-23.8,,,,,,,,,
100884,,CGMU5153746,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,21.7,,21.4,,,,,,,,,
100888,,GESU9601481,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,21.5,,21.3,,,,,,,,,
340582,,SZLU9017033,0,USHOU,ESALG/USHOU/**LBV,Unchecked,,,-18,-18.6,,-19.8,,,,,,,,,
100682,,TRIU8134185,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,20.3,,21.3,,,,,,,,,
340882,,APRU5820267,0,USHOU,ESALG/USHOU/**LBV,Unchecked,,,-18,-17.7,,-19.1,,,,,,,,,
341382,,SZLU9642004,0,USHOU,ESALG/USHOU/**LBV,Unchecked,,,-18,-18.7,,-19.7,,,,,,,,,
100886,,CXRU1322440,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,21.6,,21.6,,,,,,,,,
340884,,CGMU5306260,0,USHOU,ESALG/USHOU/**LBV,Checked,,,-18,-22.9,,-17.9,,,,,,,,,
100688,,CGMU5445917,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,20.7,,21.3,,,,,,,,,
340682,,GESU9556633,0,USHOU,ESALG/USHOU/**LBV,Checked,,,-18,-22.89,,-16.94,,,,,,,,,
300284,,SZLU9027854,0,USHOU,PAMIT/USHOU/CLSAI,Unchecked,,,2,2.6,,2.2,,,,,,,,,
341482,,TCLU1141552,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-17.8,,-18.4,,,,,,,,,
100686,,TRIU8664781,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,20.6,,21.3,,,,,,,,,
100684,,TTNU8604725,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,20.7,,21.4,,,,,,,,,
100882,,CGMU5199900,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,21.7,,21.6,,,,,,,,,
,,HDMU5494422,2,,,Checked,,,21.13,21.38,,21.63,,,,,,,,,
541382,,CGMU5451484,0,MXVER,ESVLC/ESVLC,Checked,,,-16,-14.8,,-15.2,,,,,,,,,
540882,,CGMU9378289,0,MXVER,ESVLC/ESVLC,Checked,,,-16,-17.1,,-15.95,,,,,,,,,
540982,,SEGU9650095,0,MXVER,ESVLC/ESVLC,Checked,,,-16,-15.6,,-11.3,,,,,,,,,
540582,,CGMU5371959,0,MXVER,ESVLC/ESVLC,Checked,,,0,0.3,,0.8,,,,,,,,,
500182,,APRU5746534,0,MXVER,ITLIV/ITLIV,Unchecked,,,-18,-19.2,,-18.4,,,,,,,,,
500082,,MGNU3313200,0,MXVER,ITLIV/ITLIV,Unchecked,,,-18,-19.6,,-19.1,,,,,,,,,
540682,,TRIU8019509,0,MXVER,ESVLC/ESVLC,Unchecked,,,0,0,,0.1,,,,,,,,,
541282,,CGMU6536924,0,MXVER,ESVLC/ESVLC,Unchecked,,,0,0.6,,0.2,,,,,,,,,
