Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
141084,,CGMU9309550,0,FRMRS,,JMKIN/NONOU,,,,Checked,-25,"-27,08",,"-25,12"
460502,,CGMU4975321,1,FRMRS,,CRMOB/CRMOB,,,,Checked,"0,5","0,45",,"1,48"
460604,,TLLU1078714,0,ESBCN,,PAMIT/PAMIT,,,,Checked,-22,"-23,375",,-22
271108,,CGMU3058647,0,ESBCN,,MQFDF/MQFDF,,,,Checked,-22,"-22,35",,"-21,76"
270282,,CGMU3020894,0,ESBCN,,GPPTP/GPPTP,,,,Checked,-18,"-17,48",,"-17,94"
141086,,CGMU6531748,0,ESBCN,,JMKIN/CRMOB,,,,Checked,18,"18,5",,"183,125"
380410,,TLLU1080368,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-23,5",,-22
141282,,CGMU4991657,0,ESBCN,,JMKIN/JMMBJ,,,,Checked,4,"4,03",,"4,66"
380408,,CGMU4983733,0,ESBCN,,COCTG/CLSAI,,,,Checked,18,"17,99",,"18,27"
380310,,TLLU1078740,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-23,125",,"-219,375"
380210,,TLLU1078843,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-23,375",,-22
,,RMMU2310040,2,,,,,,,Checked,,,,
380406,,CGMU5274347,0,ESBCN,,COCTG/PAMIT,,,,Checked,0,"-0,04",,"0,39"
300212,,CGMU5079335,0,ESBCN,,MXVER/MXVER,,,,Checked,20,"20,25",,"19,95"
540686,,TLLU1080389,0,ESBCN,,COCTG/COCTG,,,,Checked,-22,"-231,875",,-22
141082,,TRIU8079257,0,ESBCN,,JMKIN/JMMBJ,,,,Unchecked,,,,
540886,,TLLU1050825,0,ESBCN,,COCTG/COCTG,,,,Unchecked,,,,
540884,,APRU5848259,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,,,,
380312,,TCLU1155140,0,ESBCN,,COCTG/COCTG,,,,Unchecked,,,,
380208,,AXIU6110362,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,,,,
380306,,CGMU6506344,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,,,,
380206,,TRIU8764878,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,,,,
540882,,TRIU8187014,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,,,,
540684,,CGMU5016105,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,,,,
380412,,GESU9585755,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,,,,
271106,,SZLU3609354,0,ESBCN,,MQFDF/MQFDF,,,,Unchecked,,,,
260608,,TTNU8477127,0,ESBCN,,MQFDF/MQFDF,,,,Unchecked,,,,
260482,,MFTU8191147,0,ESBCN,,GPPTP/GPPTP,,,,Unchecked,,,,
540584,,APRU5742689,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,,,,
260612,,TLLU1050379,0,ESBCN,,MQFDF/MQFDF,,,,Unchecked,,,,
260610,,MFTU8191640,0,ESBCN,,MQFDF/MQFDF,,,,Unchecked,,,,
150686,,BMOU8710269,0,ESBCN,,JMKIN/PFPPT,,,,Unchecked,,,,
540582,,CXRU1280025,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,,,,
380212,,TCLU1312568,0,ESBCN,,COCTG/COCTG,,,,Unchecked,,,,
